game,season,home_team,away_team,starting_min,outcome,home_players,away_players,player_removed
2398,1,26,9,38,-1,"[42, 463, 641, 953]","[455, 461, 548, 850, 954]",133
7966,6,26,16,32,-1,"[295, 343, 546, 922]","[159, 306, 630, 681, 1001]",757
3468,2,1,16,37,1,"[315, 366, 796, 814]","[169, 425, 436, 654, 708]",731
7209,6,15,11,24,1,"[666, 720, 865, 966]","[139, 149, 434, 770, 790]",1040
8581,7,34,14,7,-1,"[518, 668, 751, 980]","[500, 792, 910, 929, 1021]",691
1603,1,23,6,31,1,"[317, 349, 427, 804]","[35, 216, 300, 630, 881]",1040
10295,8,16,7,36,-1,"[157, 433, 765, 910]","[16, 153, 276, 738, 1000]",994
7304,6,24,13,40,-1,"[331, 387, 584, 588]","[96, 168, 328, 694, 872]",754
4521,3,13,3,14,-1,"[194, 300, 823, 977]","[196, 363, 827, 954, 998]",929
1894,1,13,0,0,-1,"[195, 543, 876, 962]","[13, 62, 505, 545, 692]",809
9012,7,3,4,0,-1,"[14, 362, 542, 712]","[138, 196, 498, 499, 721]",815
2236,1,12,3,33,1,"[472, 688, 721, 856]","[363, 448, 462, 748, 827]",989
9276,7,25,11,33,-1,"[307, 702, 762, 964]","[149, 304, 434, 786, 949]",858
8033,6,28,3,14,-1,"[331, 707, 758, 1007]","[254, 469, 477, 576, 815]",206
8403,7,17,32,10,-1,"[514, 595, 766, 1041]","[34, 249, 610, 621, 992]",358
10726,8,12,5,9,-1,"[129, 396, 645, 850]","[94, 477, 576, 692, 737]",360
4222,3,9,26,37,1,"[85, 89, 461, 834]","[325, 546, 641, 848, 879]",80
3644,2,26,6,13,-1,"[641, 690, 861, 954]","[89, 257, 506, 737, 1016]",42
4690,3,16,30,13,-1,"[137, 436, 681, 1001]","[248, 360, 570, 664, 695]",487
2947,2,0,11,8,1,"[6, 505, 545, 856]","[117, 645, 812, 1014, 1035]",1041
1593,1,19,29,38,-1,"[537, 660, 835, 1010]","[90, 107, 203, 348, 517]",233
10283,8,27,34,22,-1,"[328, 402, 686, 780]","[108, 518, 604, 668, 796]",23
4307,3,27,19,10,1,"[448, 462, 847, 931]","[124, 161, 276, 455, 604]",33
